,Course Name,Reviewer Name,Date of Review,Review Content,Rating Star
37,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,Cheikh B,"Nov 24, 2020",The Best project to begin with tensor flow and keras,5
38,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,Marc L,"Oct 17, 2020",Great course! This is highly recommended! Thank you!,5
39,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,Sarnali B,"Jun 3, 2020","It was very fruitful, short but properly organized. ",5
40,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,MUHAMMED S S A,"Apr 16, 2020",The course is very useful and it's an amazing couse,5
41,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,Cherry I T,"Jul 2, 2020",this is a good idea for the assessing house price,5
42,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,Maciej Z,"Jul 9, 2020",A good start for regression problems using Keras,5
43,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,Manoj D,"Jun 21, 2020",Very good Trainer (Instructor) and content also,5
44,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,Sanketh R P,"May 17, 2020",Excellent course for obsolutly beginners.,5
45,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,Gokul K,"Jun 15, 2020",Great project for freshers to begin with,5
46,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,HARSH R M,"Jun 17, 2020",Best guided project for the beginners.,5
47,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,Jayanthi K,"Jun 11, 2020",Very much intresting and useful.,5
48,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,Shashank C,"Jul 9, 2020",Very well explained by Amit sir,5
49,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,MANPREET K,"Jun 3, 2020",Thankyou for this opportunity.,5
50,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,Yoro S E U,"Jun 4, 2020",J'ai extrêmement aimé ce cour,5
51,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,Gangone R,"Jul 4, 2020",very useful course,5
52,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,PRASHANTH B,"Jun 21, 2020",I was very usefull,5
53,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,Subham K,"Jun 9, 2020",Very useful course,5
54,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,Muhammad M,"Jan 30, 2021",very informative,5
55,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,Ramgiri R,"Jun 15, 2020",Help for my life,5
56,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,MD Z A E 1 V C,"May 3, 2020",#Happy_Learning,5
57,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,Xavier M,"Jun 2, 2020",VERY HELPFUL !,5
58,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,Sumit K S,"May 10, 2020",Awesome Course,5
59,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,Yingying B,"Jan 16, 2020",Great project,5
60,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,ABHISHEK Y,"Jun 25, 2020",best course,5
61,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,Kamlesh C,"Jun 26, 2020",Thank you,5
62,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,Sam P P,"Jun 20, 2020",Amazing,5
63,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,Ashwini K J,"Sep 1, 2020",Great!,5
64,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,Raja R G K,"Aug 25, 2020",great,5
65,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,Aatif J,"Apr 23, 2020",Great,5
66,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,MOHD N B A L,"Dec 4, 2020",good,5
67,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,Subhadip P,"Aug 20, 2020",good,5
68,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,RAGHUVEER S D,"Jul 25, 2020",good,5
69,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,tale p,"Jun 13, 2020",good ,5
70,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,PARVATHI.S,"Jun 5, 2020",good,5
71,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,Pawan K G,"May 6, 2020",Nice,5
72,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,VITTHAL B,"May 23, 2020","except for a little buffering in the beginning, the project was well explained by the instructor and the concepts well used. I look forward to more such guided projects that employ even more complex architectures.",4
73,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,Patrick M,"Feb 24, 2021","Fun first time using machine learning, python, pandas, etc. Not much theory revealed but I didn't expect much for a two hour project. Thanks!!",4
74,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,Vishesh K,"Apr 27, 2020",There should be a course where you can make a project on how to improve the performance of the model...like hyperparameters tuning...,4
75,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,Jayashree G,"Aug 24, 2020","The course needs a bit of more theory explanation, but overall the course was great.",4
76,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,Pratama A A,"Jun 5, 2020","I've Tried ,problem with Rhyme,overall it's a good Guided project",4
77,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,Bhargavi B,"Jul 17, 2023",Good basic project with clear explanation in significant cases.,4
78,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,NHM H I C,"Apr 19, 2020","If you want to learn the basics, you can go through it.",4
79,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,Kajal S,"Jul 27, 2020",It is a short and simple project for beginners!!,4
80,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,Ammar S,"Aug 6, 2020",very good project to start NN using tensorFlow,4
81,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,Georgey K B,"Jun 26, 2020",good project. special thanks to amit yadav,4
82,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,aman a c,"May 7, 2020",I want it to be more challenging.,4
83,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,Sayan C,"Jul 29, 2020",Fairly easy! Good for beginners.,4
84,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,MANIDEEP M,"May 12, 2020",good  teaching&encouraging,4
85,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,Shubham A,"Apr 28, 2020",Thanks to instructor.,4
86,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,RISHABH P L,"Jun 12, 2020",Good project,4
87,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,Banjo F,"Sep 28, 2020",Good!,4
88,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,Suprio D,"Jun 8, 2020",nice,4
89,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,RAHUL K T V T C,"May 20, 2020",Overall it was a good project.,3
90,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,Manali G,"May 15, 2020",YOU CAN LEARN IF YOU WANT TO,3
91,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,HARESH S S,"Jun 4, 2020",good,3
92,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,Shreyansh G (,"May 18, 2020","I have a very powerful machine, very good internet connection. Even then the video and the virtual machine were buffering and lagging a lot, it was totally disastrous experience. 2 stars given only because the teaching was good.",2
93,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,David S,"Feb 22, 2022","Terrible, there is data and a basic shell notebook of the steps.  But nothing else.  The quiz was disappointing.  Coursera really needs to take this one done.  It is far, far, far below their standards for quality.",1
94,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,Andrew E,"May 31, 2020",Ran into a technical issue in the first 5 mins of the course. Coursera might not be ready to deploy the Guided Project initiative yet,1
95,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,Aman k Y,"Jun 12, 2020","the cloud pc stops more and works less
just got frustated ",1
96,Predicting House Prices with Regression using TensorFlow by Coursera Project Network,rajat c,"Apr 28, 2020",improve the platform,1
97,Mastering Software Development in R Capstone by Johns Hopkins University,Christopher M P,"Mar 31, 2020","Course is half-dead.  Uses peer-review, but not enough peers to review assignments.  Had to wait two months for grade on final assignment.",1
98,Mastering Software Development in R Capstone by Johns Hopkins University,min p,"Jun 30, 2020","The most painful process of this course including previous ones except the first one is to wait for assignments to be graded.
Although you would get them done eventually, the process is needlessly painful.
While I'm content with the hands-on experience from visualizations to packaging in R, I hope the course be more learner-friendly environments. ",2
99,Mastering Software Development in R Capstone by Johns Hopkins University,Tim S,"Feb 28, 2018",It really sucks to wait that long for grades.,2
100,Mastering Software Development in R Capstone by Johns Hopkins University,Christopher M T,"Aug 20, 2019","Very good course.  The topics are interesting and relevant to anyone who wants to learn more about development, specifically about data science tools. The courses do require a lot of outside reading and research to complete the assignments though.  While this likely mimics what one face in the day-to-day world on the job, there is an opportunity to fold more of this material into the course material itself.  Overall, strongly recommend.  ",4
101,Mastering Software Development in R Capstone by Johns Hopkins University,Maurizio C,"Oct 12, 2017", Great gap between teaching and what is required to pass the course. Unnecessarily difficult. Not recommended.  ,1
102,Mastering Software Development in R Capstone by Johns Hopkins University,Sandjaja B,"Jul 6, 2018","The exercise really summarizes pretty much what we have learned in the past 4 courses. It's justly designed to be challenging enough, but not too burdensome. This certification provides all the building blocks of data analysis and software development in R, data presentation and packaging for distribution and collaborative works. If combined with another certification in data science and machine learning, they would make a formidable offering to any candidate who wish to try a career in data science/data analysis field. Thank you Coursera, Roger and Brooke.",5
103,Mastering Software Development in R Capstone by Johns Hopkins University,Mio R,"Jul 28, 2022","This programming assignment got me to practice essential coding skills for writing and deploying a package in R, which is super helpful. ",5
104,Mastering Software Development in R Capstone by Johns Hopkins University,Ioannis O,"Apr 21, 2020","This course is excellent! I truly learned a lot about software development with R. The only problem is that it is open a few times a year, due to the small number of participants.",4
105,Mastering Software Development in R Capstone by Johns Hopkins University,Aditya G,"Mar 17, 2018",Exceptional Course ! :),5
106,Mastering Software Development in R Capstone by Johns Hopkins University,Garvish,"May 1, 2017",Good Course.,5
107,Real-time data visualization dashboard using Node-red by Coursera Project Network,JOSE M O R,"Feb 23, 2022",Para ser un curso introductorio es bueno,5
108,Creating a Wordcloud using NLP and TF-IDF in Python by Coursera Project Network,Christian L,"Feb 6, 2021",Very good course with excellent progression and explanations! I did not like the environment used here vs. normal videos and CoLab environment like other courses,4
109,Creating a Wordcloud using NLP and TF-IDF in Python by Coursera Project Network,Archana T R,"Nov 12, 2020",Very bad explanation of the code,2
110,Deploy A Microsoft Azure Speech To Text Web App by Coursera Project Network,Santiago C V,"Jan 17, 2024","It is definetly not a 2h long course, and if you want to learn what it teaches, just go to Azure Documentation about Speech to Text plus a little research about streamlit (in case you are a beginner) and you will find exactly the same.",1
111,Handling Imbalanced Data Classification Problems by Coursera Project Network,Monika K,"Jul 30, 2021",The course is good.Unfortunately once you have given the test it is closed and you cannot access any of your code and work,3
112,Handling Imbalanced Data Classification Problems by Coursera Project Network,Idris,"Sep 22, 2020",It is a good class for an intermediate level ,3
113,Handling Imbalanced Data Classification Problems by Coursera Project Network,Steven M,"Mar 10, 2021","Guided project had an unrecoverable bug, and I could not complete it. After receiving no response from support, I just dropped the course.",1
